0	0.19509	0.382683	0.55557	0.707107	0.83147	0.92388	0.980785	1	0.980785	0.92388	0.83147	0.707107	0.55557	0.382683	0.19509	-0	
0.382683	0.422692	0.495854	0.583306	0.670715	0.747156	0.804376	0.836309	0.838718	0.808895	0.745373	0.647581	0.515411	0.348627	0.146073	-0.0954408	-0.382683	
0.707107	0.617142	0.594733	0.611085	0.645293	0.682061	0.710159	0.721359	0.709667	0.670703	0.601135	0.498072	0.358328	0.177455	-0.0515772	-0.340243	-0.707107	
0.92388	0.744035	0.654851	0.621007	0.617311	0.625638	0.632839	0.629301	0.607888	0.563116	0.490393	0.385244	0.242373	0.0544425	-0.189594	-0.506849	-0.92388	
1	0.780268	0.65963	0.600781	0.577307	0.570339	0.566258	0.555116	0.529471	0.483478	0.412076	0.310139	0.171477	-0.0124644	-0.254391	-0.573679	-1	
0.92388	0.717408	0.602619	0.545178	0.520799	0.512151	0.50674	0.495435	0.4714	0.42925	0.364294	0.271758	0.145861	-0.0213865	-0.241825	-0.533476	-0.92388	
0.707107	0.562863	0.488262	0.456513	0.44856	0.450728	0.453115	0.448483	0.431445	0.397827	0.344091	0.266739	0.161595	0.0228831	-0.158048	-0.394522	-0.707107	
0.382683	0.338677	0.331052	0.344051	0.366201	0.389085	0.406509	0.413936	0.40807	0.386522	0.347506	0.289511	0.210897	0.109372	-0.0187287	-0.179456	-0.382683	
1.22465e-16	0.0781097	0.153218	0.222437	0.283109	0.332901	0.3699	0.392684	0.400377	0.392684	0.3699	0.332901	0.283109	0.222437	0.153218	0.0781096	-1.22465e-16	
-0.382683	-0.179456	-0.0187286	0.109372	0.210897	0.289511	0.347506	0.386522	0.40807	0.413936	0.406509	0.389085	0.366201	0.344051	0.331052	0.338677	0.382683	
-0.707107	-0.394522	-0.158048	0.0228831	0.161595	0.266739	0.344091	0.397827	0.431445	0.448483	0.453115	0.450728	0.44856	0.456513	0.488262	0.562863	0.707107	
-0.92388	-0.533476	-0.241825	-0.0213865	0.145861	0.271758	0.364294	0.42925	0.4714	0.495435	0.50674	0.512151	0.520799	0.545178	0.602619	0.717408	0.92388	
-1	-0.573679	-0.254391	-0.0124644	0.171477	0.310139	0.412076	0.483478	0.52947	0.555116	0.566258	0.570339	0.577307	0.60078	0.65963	0.780268	1	
-0.92388	-0.506849	-0.189594	0.0544425	0.242373	0.385244	0.490393	0.563115	0.607888	0.6293	0.632839	0.625637	0.617311	0.621007	0.654851	0.744035	0.92388	
-0.707107	-0.340243	-0.0515772	0.177455	0.358328	0.498072	0.601135	0.670703	0.709667	0.721359	0.710159	0.682061	0.645293	0.611085	0.594733	0.617142	0.707107	
-0.382683	-0.0954408	0.146073	0.348627	0.515411	0.647581	0.745373	0.808895	0.838718	0.836309	0.804376	0.747155	0.670715	0.583306	0.495854	0.422692	0.382683	
-2.44929e-16	0.19509	0.382683	0.55557	0.707107	0.83147	0.92388	0.980785	1	0.980785	0.92388	0.83147	0.707107	0.55557	0.382683	0.19509	2.44929e-16	
