0	0.0980171	0.19509	0.290285	0.382683	0.471397	0.55557	0.634393	0.707107	0.77301	0.83147	0.881921	0.92388	0.95694	0.980785	0.995185	1	0.995185	0.980785	0.95694	0.92388	0.881921	0.83147	0.77301	0.707107	0.634393	0.55557	0.471397	0.382683	0.290285	0.19509	0.0980171	-0	
0.19509	0.249932	0.310069	0.373544	0.438611	0.503708	0.567436	0.628544	0.685916	0.738558	0.785596	0.826268	0.85992	0.885999	0.904056	0.913735	0.914776	0.907007	0.890341	0.864773	0.830366	0.787254	0.735623	0.675708	0.607776	0.532115	0.449012	0.358741	0.261532	0.157551	0.0468616	-0.0706032	-0.19509	
0.382683	0.396551	0.421708	0.455209	0.494505	0.537385	0.58192	0.62643	0.669451	0.709705	0.746085	0.777633	0.80353	0.823079	0.835702	0.840922	0.83836	0.827724	0.808801	0.781442	0.745559	0.701105	0.648061	0.586422	0.516176	0.437277	0.349624	0.253024	0.147155	0.0315238	-0.0945911	-0.232201	-0.382683	
0.55557	0.53188	0.525001	0.531076	0.546814	0.569402	0.596423	0.625801	0.655748	0.684723	0.711402	0.734646	0.753483	0.767083	0.774747	0.775888	0.770016	0.756728	0.735694	0.706637	0.669324	0.623545	0.569094	0.505746	0.433229	0.351196	0.259184	0.156576	0.0425412	-0.0840186	-0.224548	-0.380926	-0.55557	
0.707107	0.650396	0.615337	0.597275	0.59227	0.596981	0.608564	0.624597	0.64301	0.662031	0.680147	0.696061	0.708667	0.717019	0.720312	0.717862	0.709084	0.693478	0.670608	0.640087	0.601555	0.554659	0.499026	0.434239	0.3598	0.275093	0.179343	0.0715543	-0.0495464	-0.18559	-0.338657	-0.511386	-0.707107	
0.83147	0.747257	0.688674	0.650412	0.628004	0.61768	0.616249	0.621007	0.629655	0.640237	0.651086	0.660777	0.668097	0.672007	0.671616	0.666161	0.654978	0.637488	0.613171	0.581546	0.54215	0.494508	0.438113	0.372385	0.296638	0.210037	0.111541	-0.000153498	-0.12669	-0.270138	-0.433104	-0.618853	-0.83147	
0.92388	0.818486	0.741685	0.68769	0.651649	0.629478	0.617737	0.613518	0.614358	0.618169	0.623173	0.627857	0.630931	0.631289	0.627979	0.620181	0.607175	0.588323	0.56304	0.530776	0.490988	0.443112	0.386534	0.320551	0.244334	0.156876	0.0569389	-0.0570184	-0.186919	-0.335168	-0.504766	-0.699453	-0.92388	
0.980785	0.861122	0.771886	0.70701	0.661416	0.630839	0.611694	0.60096	0.596081	0.594896	0.59557	0.596539	0.596473	0.594229	0.588824	0.579403	0.565215	0.545583	0.519886	0.487528	0.447913	0.400419	0.344359	0.278952	0.20327	0.116196	0.0163582	-0.0979385	-0.228801	-0.378848	-0.551338	-0.750314	-0.980785	
1	0.873326	0.777721	0.707043	0.656157	0.620758	0.597232	0.582536	0.574101	0.569756	0.56766	0.566248	0.564183	0.560322	0.553677	0.543387	0.528692	0.508905	0.483391	0.451534	0.412717	0.366289	0.311533	0.247626	0.173598	0.0882793	-0.00976255	-0.122292	-0.251496	-0.400086	-0.571424	-0.769678	-1	
0.980785	0.854459	0.758625	0.687279	0.635404	0.598797	0.573931	0.55784	0.548019	0.542356	0.539056	0.536598	0.533681	0.529191	0.522166	0.511768	0.497253	0.47795	0.453233	0.422496	0.385129	0.340486	0.287856	0.226421	0.155218	0.0730857	-0.0213952	-0.129972	-0.254806	-0.398574	-0.564595	-0.756974	-0.980785	
