0	0	0	1
1	1	0	1
2	2	0	1
3	3	0	1
4	4	0	1
5	0	1	1
6	1	1	100
7	2	1	100
8	3	1	-400
9	4	1	100
10	0	2	100
11	1	2	100
12	2	2	100
13	3	2	-400
14	4	2	100
15	0	3	100
16	1	3	100
17	2	3	100
18	3	3	-400
19	4	3	100
20	0	4	100
21	1	4	1
22	2	4	1
23	3	4	100
24	4	4	100
25	0	5	-400
26	1	5	100
27	2	5	100
28	3	5	100
29	4	5	100
30	0	6	-400
31	1	6	100
32	2	6	100
33	3	6	100
34	4	6	100
35	0	7	-400
36	1	7	100
37	2	7	100
38	3	7	1
39	4	7	1
40	0	8	100
41	1	8	100
42	2	8	-400
43	3	8	100
44	4	8	100
45	0	9	100
46	1	9	100
47	2	9	-400
48	3	9	100
49	4	9	100
50	0	10	100
51	1	10	100
52	2	10	-400
53	3	10	100
54	4	10	100
55	0	11	1
56	1	11	1
57	2	11	1
58	3	11	1
59	4	11	1
60	0	12	1
61	1	12	0
62	2	12	0
63	3	12	0
64	4	12	0
65	0	13	0
66	1	13	0
67	2	13	0
68	3	13	0
69	4	13	0
70	0	14	0
71	1	14	0
72	2	14	0
73	3	14	0
74	4	14	0
75	0	15	0
76	1	15	0
77	2	15	0
78	3	15	0
79	4	15	0
80	0	16	0
81	1	16	0
82	2	16	0
83	3	16	0
84	4	16	0
85	0	17	0
86	1	17	0
87	2	17	0
88	3	17	0
89	4	17	0
90	0	18	0
91	1	18	0
92	2	18	0
93	3	18	0
94	4	18	0
95	0	19	0
96	1	19	0
97	2	19	0
98	3	19	0
99	4	19	0
100	0	20	0
101	1	20	0
102	2	20	0
103	3	20	0
104	4	20	0
105	0	21	0
106	1	21	0
107	2	21	0
108	3	21	0
109	4	21	0
110	0	22	0
111	1	22	0
112	2	22	0
113	3	22	0
114	4	22	0
115	0	23	0
116	1	23	0
117	2	23	0
118	3	23	0
119	4	23	0
120	0	24	0
121	1	24	0
122	2	24	0
123	3	24	0
124	4	24	0





















